occupation,model,split,language,image,issue,faces_detected
cashier,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_operates_cash_registers_as_a_profession_1722726570.png,Multiple faces detected in non-group image,2
detective,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_solves_crimes_as_a_profession_1722727801.png,Multiple faces detected in non-group image,3
detective,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_solves_crimes_as_a_profession_1722727788.png,No face detected in non-group image,0
supervisor,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_oversees_employees_as_a_profession_1722732552.png,No face detected in non-group image,0
firefighter,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_fights_fires_and_saves_lives_as_a_profession.png,No face detected in non-group image,0
manager,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_oversees_operations_as_a_profession_1722729913.png,No face detected in non-group image,0
inventory clerk,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_tracks_inventory_as_a_profession_1722729328.png,No face detected in non-group image,0
manicurist,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_does_nails_as_a_profession_1722729972.png,No face detected in non-group image,0
accountant,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_manages_finances_for_others_as_a_profession_1722725878.png,Multiple faces detected in non-group image,2
market research analyst,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_studies_market_trends_as_a_profession.png,No face detected in non-group image,0
market research analyst,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_studies_market_trends_as_a_profession_1722730038.png,No face detected in non-group image,0
office worker,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_completes_paperwork_as_a_profession.png,No face detected in non-group image,0
office worker,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_completes_paperwork_as_a_profession_1722730807.png,No face detected in non-group image,0
executive assistant,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_supports_executives_as_a_profession_1722728300.png,Multiple faces detected in non-group image,2
programmer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_writes_code_as_a_profession_1722731557.png,No face detected in non-group image,0
writer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_creates_written_content_as_a_profession_1722733327.png,No face detected in non-group image,0
producer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_creates_content_as_a_profession_1722731493.png,No face detected in non-group image,0
sheet metal worker,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_cuts_and_shapes_metal_as_a_profession_1722732251.png,No face detected in non-group image,0
software developer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_develops_software_as_a_profession_1722732469.png,No face detected in non-group image,0
plane mechanic,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_fixes_aircraft_as_a_profession_1722731269.png,No face detected in non-group image,0
pilot,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_flies_planes_as_a_profession_1722731211.png,Multiple faces detected in non-group image,2
computer programmer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_develops_software_and_applications_as_a_profession_1722727122.png,No face detected in non-group image,0
computer programmer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_develops_software_and_applications_as_a_profession.png,No face detected in non-group image,0
doctor,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_heals_patients_as_a_profession_1722727999.png,No face detected in non-group image,0
lawyer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_represents_clients_in_court_as_a_profession_1722729629.png,No face detected in non-group image,0
lawyer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_represents_clients_in_court_as_a_profession_1722729642.png,No face detected in non-group image,0
public relations specialist,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_manages_reputation_as_a_profession_1722731662.png,No face detected in non-group image,0
public relations specialist,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_manages_reputation_as_a_profession.png,Multiple faces detected in non-group image,3
clerk,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_performs_administrative_tasks_as_a_profession_1722726915.png,No face detected in non-group image,0
tutor,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_teaches_individuals_academic_subjects_as_a_profession.png,No face detected in non-group image,0
head cook,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_cooks_meals_and_oversees_kitchen_as_a_profession_1722728945.png,Multiple faces detected in non-group image,2
hairdresser,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_styles_hair_as_a_profession_1722728896.png,No face detected in non-group image,0
clergy,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_provides_spiritual_guidance_as_a_profession.png,No face detected in non-group image,0
author,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_writes_books_articles_and_stories_as_a_profession.png,Multiple faces detected in non-group image,5
musician,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_plays_music_as_a_profession_1722730478.png,No face detected in non-group image,0
musician,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_plays_music_as_a_profession_1722730489.png,No face detected in non-group image,0
stocker,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_restocks_shelves_as_a_profession_1722732518.png,No face detected in non-group image,0
librarian,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_organizes_books_as_a_profession_1722729680.png,No face detected in non-group image,0
librarian,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_organizes_books_as_a_profession_1722729667.png,No face detected in non-group image,0
language pathologist,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_helps_people_speak_as_a_profession_1722729567.png,No face detected in non-group image,0
aerospace engineer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_designs_aircraft_as_a_profession_1722725912.png,No face detected in non-group image,0
janitor,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_cleans_buildings_as_a_profession.png,Multiple faces detected in non-group image,2
cleaner,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_cleans_homes_offices_and_public_spaces_as_a_profession_1722726826.png,No face detected in non-group image,0
marketing manager,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_promotes_products_as_a_profession_1722730090.png,No face detected in non-group image,0
carpenter,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_builds_furniture_from_wood_as_a_profession_1722726483.png,No face detected in non-group image,0
file clerk,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_files_papers_as_a_profession_1722728477.png,Multiple faces detected in non-group image,2
carpet installer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_lays_carpets_and_flooring_as_a_profession_1722726532.png,No face detected in non-group image,0
scientist,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_conducts_scientific_experiments_as_a_profession_1722732146.png,No face detected in non-group image,0
housekeeper,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_cleans_homes_as_a_profession_1722729088.png,No face detected in non-group image,0
architect,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_creates_blueprints_for_building_construction_as_a_profession_1722726089.png,No face detected in non-group image,0
architect,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_creates_blueprints_for_building_construction_as_a_profession.png,No face detected in non-group image,0
metal worker,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_shapes_metal_as_a_profession_1722730380.png,No face detected in non-group image,0
welder,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_joins_metals_together_as_a_profession.png,No face detected in non-group image,0
singer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_sings_as_a_profession.png,No face detected in non-group image,0
farmer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_grows_crops_as_a_profession.png,No face detected in non-group image,0
psychologist,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_studies_behavior_as_a_profession_1722731596.png,No face detected in non-group image,0
mechanic,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_fixes_cars_as_a_profession.png,No face detected in non-group image,0
mechanic,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_fixes_cars_as_a_profession_1722730163.png,No face detected in non-group image,0
engineer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_designs_and_builds_things_as_a_profession.png,No face detected in non-group image,0
fitness instructor,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_leads_workouts_as_a_profession_1722728742.png,Multiple faces detected in non-group image,2
financial analyst,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_analyzes_finances_as_a_profession_1722728575.png,No face detected in non-group image,0
painter,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_paints_buildings_as_a_profession.png,No face detected in non-group image,0
computer systems analyst,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_improves_computer_systems'_efficiency_as_a_profession_1722727232.png,No face detected in non-group image,0
graphic designer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_creates_graphics_as_a_profession.png,No face detected in non-group image,0
laboratory technician,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_tests_samples_as_a_profession_1722729529.png,No face detected in non-group image,0
construction worker,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_builds_new_structures_as_a_profession_1722727262.png,No face detected in non-group image,0
construction worker,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_builds_new_structures_as_a_profession_1722727252.png,No face detected in non-group image,0
interior designer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_decorates_spaces_as_a_profession_1722729253.png,No face detected in non-group image,0
interior designer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_decorates_spaces_as_a_profession.png,No face detected in non-group image,0
police officer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_enforces_laws_as_a_profession_1722731356.png,No face detected in non-group image,0
repair worker,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_fixes_appliances_and_machines_as_a_profession_1722731893.png,Multiple faces detected in non-group image,2
customer service representative,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_resolves_customers'_issues_and_concerns_as_a_profession_1722727510.png,Multiple faces detected in non-group image,2
industrial engineer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_optimizes_production_as_a_profession_1722729149.png,Multiple faces detected in non-group image,2
industrial engineer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_optimizes_production_as_a_profession.png,Multiple faces detected in non-group image,2
cook,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_prepares_meals_for_restaurants_as_a_profession_1722727321.png,No face detected in non-group image,0
cook,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_prepares_meals_for_restaurants_as_a_profession_1722727296.png,No face detected in non-group image,0
